GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
io.openscore,score-node-api,0.1.251,370,3,6
com.tenderowls.opensource,haxemojos-maven-plugin,1.0.1,2296,0,62
com.github.lynchmaniac,poilight,0.1.2,1362,0,12
org.codelibs,elasticsearch-minhash,5.3.0,430,1,11
br.com.caelum,vraptor,4.2.0-RC3,13278,70,408
de.javakaffee.msm,msm-xstream-serializer,1.6.0,89,1,2
org.sbml.jsbml,jsbml-core,1.0,37306,18,200
com.networknt,openapi-security,1.6.38,215,6,1
biz.neustar,pagerduty,1.0-beta-3,945,0,22
com.jameskleeh,excel-builder,0.2.0,1684,0,19
org.springdoc,springdoc-openapi-common,1.5.8,9635,27,136
com.digitalpebble.stormcrawler,storm-crawler-core,1.9,7410,10,105
cn.javaer,retrofit2-converter-jaxb,1.0.0,99,0,3
net.databinder,unfiltered-uploads_2.8.1.RC2,0.2.1,752,1,35
org.opensextant,opensextant-xponents-xtext,3.0,5026,0,34
org.herddb,herddb-net,0.15.0,0,1,26
org.onosproject,onos-drivers-cisco,1.8.6,682,0,5
org.ow2.weblab.service,gate-extraction,2.0,641,0,5
com.github.kmekala,uiautomation,0.0.1,2212,0,32
com.manganit.half,half-action,0.2,301,0,4
net.lightapi,common-util,2.1.0,1076,1,6
org.ikasan,ikasan-builder,2.1.1,5858,3,83
de.mediathekview,MLib,2.5.0,4006,1,46
com.holon-platform.core,holon-spring-boot,5.1.2,138,6,8
org.apache.bval,bval-core,0.1-incubating,3120,12,65
org.terasoluna.batch,terasoluna-batch,5.1.2.RELEASE,607,0,14
org.apache.torque,torque-generator,5.0,14534,3,230
org.pgscala.embedded,pgscala-embedded_2.11,0.2.3,2877,0,80
com.ijson,in-spring-mvc-common,1.0.0,5940,0,86
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.textcat-asl,1.6.1,44,4,1
no.ssb.rawdata,rawdata-client-state-provider-postgres,0.1,398,0,5
com.github.kristofa,mock-http-server,1.0,1553,17,45
org.tallison.solr,solr-5410,6.3-0.1,179,0,3
org.molgenis,molgenis-data-rest-client,1.12.2,610,0,13
net.databinder,dispatch-http-json_2.7.6,0.7.0,122,4,5
cn.jbone,jbone-common,1.0.0,1521,8,27
io.knotx,knotx-metrics-sender,1.4.0,194,0,6
com.oozol,id-spring-boot-starter,1.0.1-RELEASE,1090,0,25
com.ebay,xcelite,1.0.4,1389,0,39
org.hisp,dhis2-java-client,1.1.7,2435,0,55
com.gitee.easy4use,yui-mybatisx-boot-starter,1.0.1,383,0,6
org.fisco-bcos,web3sdk,1.2.3.0,42697,6,1760
org.openl,org.openl.commons.web,5.21.12,593,0,8
org.webframe,wf-web-springmvc,1.1.0,793,2,12
me.tfeng.toolbox,avro,0.11.0,1083,3,23
org.hyrts,hyrts-maven-plugin,1.0.0,807,0,16
org.wicketstuff,wicketstuff-push-cometd,7.0.0,542,2,9
org.apache.zipkin.reporter2,zipkin-reporter-spring-beans,2.8.3,455,0,6
com.github.percychuang,modest-file,0.0.1,721,0,13
com.mofum.scope,scope-autoconfigure,1.0.0.RELEASE,48,1,2
com.boozallen.cognition,storm-elasticsearch,0.4.0,294,0,5
org.apache.kyuubi,kyuubi-hive-jdbc,1.5.0-incubating,6897,2,44
io.etcd,jetcd-ctl,0.3.0,158,0,5
com.github.nomou.spreadsheet,spreadsheet-ms-excel,1.0.2,1426,0,15
nl.knaw.meertens.mtas,mtas,7.2.1.1,47625,0,315
club.pizzalord,shire-io-excel,0.0.6,229,0,3
org.scalameta,metabrowse-server_2.13,0.2.3,1639,3,8
com.qwazr,qwazr-search-bench,1.3.0,596,0,18
im.mak,waves-crypto,2.0.0,1005,1,11
com.wgtwo.api.v0.grpc,callforward,0.1.2,9226,0,82
se.vgregion.innovationsslussen,innovationsslussen-core-bc-composite-svc,1.6,5439,1,71
net.databinder,dispatch-core_2.8.1,0.8.6,2779,13,101
org.dhatim,milyn-smooks-example-model-driven-basic-virtual,1.7.2,98,0,2
io.prestodb.tempto,tempto-core,1.53,11402,5,266
com.foilen,foilen-infra-api,0.14.0,3686,1,77
net.mailjimp,mailjimp-core,0.2,1325,1,20
org.glassfish.metro,harness-maven-plugin,3.0.0-M2,757,0,6
io.github.weikaiyu-bit,sensitive-replace,0.0.2,532,0,16
io.gitee.xuqiudong,lcxm-boot-jar-util,1.0.2,5883,0,75
org.kuali.maven.cloudfront,maven-cloudfront-plugin,1.0.14,1294,0,11
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.umlautnormalizer-asl,1.6.2,269,1,8
io.github.theborakompanioni,bitcoin-fee-estimate-blockstreaminfo,0.3.0,1332,1,12
net.unit8.metrics,metrics-mackerel,0.1.1,339,0,6
org.jdom,jdom,2.0.2,15856,399,188
org.onosproject,onos-providers-bgpcep-flow,1.8.8,63,0,1
xyz.quaver,libpupil,2.1.11,3513,0,32
com.hotels,beeju,1.0.2,373,18,9
com.qwazr,qwazr-extractor,1.1.0,2972,33,39
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.io.ditop-asl,1.7.0,262,0,1
com.yinzara,jasperreports-fonts-maven-plugin,0.0.4,1326,0,6
org.powermock.examples,powermock-examples-spring-mockito-xml-agent,1.4.12,89,0,4
com.apigee.smartdocs.config,apigee-smartdocs-maven-plugin,2.0.1,1798,0,35
com.lianquna,acc-web,1.1.2,280,0,9
io.cloudslang.content,cs-database,0.0.1,3596,0,50
com.github.pguedes,capsule-maven-plugin,0.2,573,0,9
hu.meza.tools,http-client-wrapper,0.1.9,222,1,5
fr.inria.gforge.spoon,spoon-core,7.5.0-beta-8,63057,43,1108
ca.uhn.hapi.fhir,hapi-fhir-jpaserver-base,2.3,44103,27,511
com.github.fancyerii,nekohtmlparser,1.0,707,2,7
com.adgear,anoa-core,3.0.0-beta-1,4711,2,118
org.wicketstuff,wicketstuff-shiro,6.7.0,803,4,21
org.infinispan,infinispan-server-router,13.0.0.Dev04,1354,4,40
com.wxipad.wechat,wechat-tools,3.0.1,16398,0,102
com.paremus.ui,com.paremus.ui.rest.test,1.0.0,241,0,5
com.moz.fiji.mapreduce,fiji-mapreduce,0.1.22,9495,23,189
com.diboot,diboot-framework,1.5,6677,2,119
de.alpharogroup,jaulp.wicket.behaviors,7.0.0,828,4,28
org.zalando,logbook-netty,2.7.0,523,2,13
com.github.skarpushin,summerb,3.0.0,21054,1,485
eu.shiftforward,apso_2.11,0.13.5,24362,1,751
org.grails,grails-datastore-core,1.0.6.RELEASE,10150,31,285
org.webframe,wf-support,1.1.0,887,4,21
org.spark-project.hive.hcatalog,hive-webhcat,1.2.1.spark,6218,0,98
nl.jpoint.vertx-deploy-tools,vertx-deploy-agent,3.5.5,3637,0,53
org.http4s,http4s-async-http-client_2.11,0.15.5,755,0,27
com.cloudhopper,ch-sxmp,1.5.0,2002,0,38
com.networknt,redis-manager,1.6.13,287,0,4
com.feth,play-authenticate_2.10,0.6.9,5499,0,130
org.datasyslab,geospark-sql_2.3,1.3.1,9432,4,138
de.julielab,jcore-mantra-xml-types,2.0.0,499,2,10
io.deephaven,deephaven-Numerics,0.14.0,854,1,18
cn.richinfo.agent.android,agent-maven-plugin,1.0.3,43,0,1
org.ow2.chameleon.database,datasource-derby,0.2.0,203462,1,1439
org.kualigan.kfs,kfs-core,1.0.5,378806,4,4583
io.snappydata,snappy-spark-yarn_2.10,1.6.2-4,16515,2,380
com.github.zg2pro,spring-rest-basis,0.1,244,0,4
org.wicketstuff,modalx,7.0.0,481,1,17
org.codehaus.groovy,groovy-all-jdk14,1.6.5,235268,0,3269
org.jetbrains.dokka,all-modules-page-plugin,1.4.32,1834,2,44
com.hazelcast.simulator,simulator,0.12,14522,17,246
top.bettercode.wechat,weixin-open,0.9.7,268,0,4
org.geomajas.widget,geomajas-widget-advancedviews,1.0.0-M4,199,5,4
com.github.wz2cool,mybatis-dynamic-query,2.0.2,1497,0,33
org.whitesource,whitesource-fs-agent,18.11.2.1,19077,2,166
dev.xethh.libs.toolkits,commons,1.0.0,1235,2,38
com.github.gino0631,pac-core,1.0,545,1,6
net.sourceforge.javydreamercsw,VM-Core,0.1,21708,1,158
com.github.agolubev,play-in-zoo_2.11,0.3,2406,0,50
love.forte.simple-robot-module,mod-mybatis,0.1-1.16,329,0,3
com.networknt,rpc-security,1.4.0,84,3,1
org.wso2.org.apache.shindig,shindig-social-api,2.5.2-wso2v15,9968,3,155
de.flapdoodle.wicket7-java8,de.flapdoodle.wicket--incubator,7.0.2,69,1,4
cn.opencodes,alpha-spring-boot-starter,1.0.2,6710,0,90
io.smartdatalake,sdl-kafka_2.12,2.2.0,5270,1,23
net.sf.jped,jped,2.0,56106,6,596
org.codehaus.grepo,grepo-core,1.0.0,622,5,24
io.aalam.common,aalam-common,0.1.0,2530,0,45
org.grails,grails-web,3.0.13,1008,35,16
com.google.mug,mug-protobuf,5.9,463,0,5
io.fsq,twofishes-core_2.11,2.0.2,2430,4,58
net.sealake,binance-api-client,1.0.0.RELEASE,5031,0,76
